Epoch: 001, Train Acc: 0.2090, Test Acc: 0.1616
Epoch: 002, Train Acc: 0.1990, Test Acc: 0.1566
Epoch: 003, Train Acc: 0.2114, Test Acc: 0.1667
Epoch: 004, Train Acc: 0.2015, Test Acc: 0.1616
Epoch: 005, Train Acc: 0.1940, Test Acc: 0.1566
Epoch: 006, Train Acc: 0.2015, Test Acc: 0.1515
Epoch: 007, Train Acc: 0.2114, Test Acc: 0.1869
Epoch: 008, Train Acc: 0.2289, Test Acc: 0.2273
Epoch: 009, Train Acc: 0.2488, Test Acc: 0.2273
Epoch: 010, Train Acc: 0.2488, Test Acc: 0.1919
Epoch: 011, Train Acc: 0.2338, Test Acc: 0.2071
Epoch: 012, Train Acc: 0.2239, Test Acc: 0.2172
Epoch: 013, Train Acc: 0.2637, Test Acc: 0.2172
Epoch: 014, Train Acc: 0.1891, Test Acc: 0.1313
Epoch: 015, Train Acc: 0.2338, Test Acc: 0.1970
Epoch: 016, Train Acc: 0.2338, Test Acc: 0.2071
Epoch: 017, Train Acc: 0.2189, Test Acc: 0.2020
Epoch: 018, Train Acc: 0.2363, Test Acc: 0.1717
Epoch: 019, Train Acc: 0.2537, Test Acc: 0.2323
Epoch: 020, Train Acc: 0.2338, Test Acc: 0.1717
Epoch: 021, Train Acc: 0.2388, Test Acc: 0.1667
Epoch: 022, Train Acc: 0.2313, Test Acc: 0.1566
Epoch: 023, Train Acc: 0.2413, Test Acc: 0.2222
Epoch: 024, Train Acc: 0.2264, Test Acc: 0.1970
Epoch: 025, Train Acc: 0.2338, Test Acc: 0.1919
Epoch: 026, Train Acc: 0.1940, Test Acc: 0.1869
Epoch: 027, Train Acc: 0.2537, Test Acc: 0.2273
Epoch: 028, Train Acc: 0.2264, Test Acc: 0.2222
Epoch: 029, Train Acc: 0.1915, Test Acc: 0.2020
Epoch: 030, Train Acc: 0.2413, Test Acc: 0.1667
Epoch: 031, Train Acc: 0.2488, Test Acc: 0.1515
Epoch: 032, Train Acc: 0.2413, Test Acc: 0.1667
Epoch: 033, Train Acc: 0.2164, Test Acc: 0.1566
Epoch: 034, Train Acc: 0.2090, Test Acc: 0.1818
Epoch: 035, Train Acc: 0.2587, Test Acc: 0.2020
Epoch: 036, Train Acc: 0.2463, Test Acc: 0.2020
Epoch: 037, Train Acc: 0.2289, Test Acc: 0.1869
Epoch: 038, Train Acc: 0.2438, Test Acc: 0.1414
Epoch: 039, Train Acc: 0.2587, Test Acc: 0.2121
Epoch: 040, Train Acc: 0.2537, Test Acc: 0.2222
Epoch: 041, Train Acc: 0.2537, Test Acc: 0.2222
Epoch: 042, Train Acc: 0.2811, Test Acc: 0.2222
